街道ID,平均行程车速（km/h）,时间,时间片（一个时间片为5分钟）,交通指数,通过样本总行程时间(s),通过样本总行驶长度(m)
44,5.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,4.877E+003,7.0676E+004
43,4.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.0622E+004,1.41559E+005
42,3.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,7.439E+003,7.8131E+004
41,3.3E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,6.452E+003,5.8739E+004
40,4.9E+001,"	2018-03-01 00:00:00.000000",11,0,3.498E+004,4.71387E+005
39,4.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,3.6726E+004,4.22314E+005
38,5.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.945E+004,2.77313E+005
37,5.4E+001,"	2018-03-01 00:00:00.000000",11,0,1.3345E+004,1.98564E+005
36,5.4E+001,"	2018-03-01 00:00:00.000000",11,0,1.8089E+004,2.71313E+005
35,4.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.058E+004,1.417E+005
34,5.5E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,6.876E+003,1.05213E+005
33,4.6E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,4.272E+003,5.4307E+004
32,5.6E+001,"	2018-03-01 00:00:00.000000",11,0,1.815E+003,2.8204E+004
31,7.0E+001,"	2018-03-01 00:00:00.000000",11,0,1.064E+003,2.0632E+004
30,4.6E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.3E+003,1.6634E+004
29,4.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,3.329E+003,4.4015E+004
28,5.8E+001,"	2018-03-01 00:00:00.000000",11,0,1.8202E+004,2.94311E+005
27,3.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.7144E+004,1.54357E+005
26,3.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,5.883E+003,5.0056E+004
25,3.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.2014E+004,1.03131E+005
24,4.6E+001,"	2018-03-01 00:00:00.000000",11,0,2.5977E+004,3.28426E+005
23,4.6E+001,"	2018-03-01 00:00:00.000000",11,0,2.8913E+004,3.67121E+005
22,5.0E+001,"	2018-03-01 00:00:00.000000",11,0,2.0759E+004,2.87652E+005
21,5.1E+001,"	2018-03-01 00:00:00.000000",11,0,3.7746E+004,5.38356E+005
74,7.2E+001,"	2018-03-01 00:00:00.000000",11,0,3.111E+003,6.2641E+004
73,6.1E+001,"	2018-03-01 00:00:00.000000",11,0,8.34E+002,1.4045E+004
71,4.4E+001,"	2018-03-01 00:00:00.000000",11,0,3.8617E+004,4.70566E+005
70,4.6E+001,"	2018-03-01 00:00:00.000000",11,0,1.7939E+004,2.31218E+005
69,3.7E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,7.93E+003,8.2248E+004
68,3.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.7535E+004,2.4639E+005
67,5.8E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.0356E+004,1.66637E+005
66,5.0E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,8.85E+003,1.24132E+005
65,2.9E+001,"	2018-03-01 00:00:00.000000",11,5.0E+000,4.12E+002,3.281E+003
64,2.9E+001,"	2018-03-01 00:00:00.000000",11,3.0E+000,1.371E+003,1.0912E+004
63,5.2E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.379E+003,3.4045E+004
62,5.0E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,3.504E+003,4.9117E+004
17,3.6E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.6566E+004,2.63216E+005
16,5.7E+001,"	2018-03-01 00:00:00.000000",11,0,7.732E+003,1.2146E+005
15,4.7E+001,"	2018-03-01 00:00:00.000000",11,0,1.6253E+004,2.13321E+005
14,4.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,2.6876E+004,3.09523E+005
13,3.0E+001,"	2018-03-01 00:00:00.000000",11,2.0E+000,4.5808E+004,3.8622E+005
12,4.4E+001,"	2018-03-01 00:00:00.000000",11,0,5.3E+003,6.4229E+004
11,5.1E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.1948E+004,1.69412E+005
10,4.4E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.4414E+004,1.76678E+005
9,4.0E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.3232E+004,1.46577E+005
8,3.0E+001,"	2018-03-01 00:00:00.000000",11,1.0E+000,1.2679E+004,1.04495E+005
17,3.6E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.6668E+004,2.63837E+005
16,4.7E+001,"	2018-03-01 00:00:00.000000",10,0,8.695E+003,1.13825E+005
15,4.7E+001,"	2018-03-01 00:00:00.000000",10,0,1.8117E+004,2.34667E+005
14,4.3E+001,"	2018-03-01 00:00:00.000000",10,0,2.5437E+004,3.06655E+005
13,3.4E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,4.3265E+004,4.06724E+005
12,4.2E+001,"	2018-03-01 00:00:00.000000",10,0,5.284E+003,6.1475E+004
11,5.3E+001,"	2018-03-01 00:00:00.000000",10,0,1.386E+004,2.03143E+005
10,4.2E+001,"	2018-03-01 00:00:00.000000",10,0,1.1924E+004,1.39571E+005
9,4.2E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,1.3399E+004,1.56242E+005
8,2.8E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,1.4437E+004,1.13596E+005
7,5.3E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.7949E+004,4.11327E+005
6,4.5E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.2549E+004,2.79274E+005
74,6.4E+001,"	2018-03-01 00:00:00.000000",10,0,2.932E+003,5.2009E+004
73,4.5E+001,"	2018-03-01 00:00:00.000000",10,0,8.64E+002,1.0915E+004
72,5.0E+001,"	2018-03-01 00:00:00.000000",10,0,2.81E+002,3.903E+003
71,4.4E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,4.2428E+004,5.21512E+005
56,4.8E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,4.347E+003,5.7945E+004
55,5.1E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,4.286E+003,6.0466E+004
54,3.3E+001,"	2018-03-01 00:00:00.000000",10,3.0E+000,1.195E+003,1.0868E+004
53,5.4E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,1.1482E+004,1.70713E+005
52,4.3E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,1.3914E+004,1.66776E+005
51,3.4E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,4.1828E+004,3.92056E+005
50,4.0E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.0569E+004,2.30929E+005
49,4.3E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,1.2231E+004,1.45134E+005
48,4.2E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,3.1028E+004,3.66231E+005
47,4.4E+001,"	2018-03-01 00:00:00.000000",10,0,1.8052E+004,2.2316E+005
46,4.8E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,5.272E+003,7.103E+004
45,4.6E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,1.7749E+004,2.25465E+005
44,5.1E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,4.329E+003,6.179E+004
43,4.4E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,1.1327E+004,1.38194E+005
42,3.7E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,8.409E+003,8.6449E+004
41,3.0E+001,"	2018-03-01 00:00:00.000000",10,3.0E+000,6.517E+003,5.4017E+004
40,5.0E+001,"	2018-03-01 00:00:00.000000",10,0,3.6234E+004,5.00513E+005
39,4.3E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,4.1045E+004,4.93273E+005
38,5.4E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.1233E+004,3.15996E+005
37,5.0E+001,"	2018-03-01 00:00:00.000000",10,0,1.439E+004,2.01141E+005
36,5.7E+001,"	2018-03-01 00:00:00.000000",10,0,1.9252E+004,3.05298E+005
35,4.6E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,1.1716E+004,1.50774E+005
34,6.1E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,8.846E+003,1.4916E+005
33,4.5E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,5.339E+003,6.6305E+004
32,4.7E+001,"	2018-03-01 00:00:00.000000",10,0,2.501E+003,3.2508E+004
31,5.3E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,1.739E+003,2.5818E+004
30,4.8E+001,"	2018-03-01 00:00:00.000000",10,0,1.595E+003,2.1264E+004
29,5.2E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.273E+003,3.2741E+004
28,5.6E+001,"	2018-03-01 00:00:00.000000",10,0,2.4583E+004,3.81122E+005
5,5.3E+001,"	2018-03-01 00:00:00.000000",10,0,2.5904E+004,3.79573E+005
4,4.4E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.5398E+004,3.13878E+005
3,5.1E+001,"	2018-03-01 00:00:00.000000",10,0,5.3415E+004,7.49692E+005
2,3.9E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,8.5651E+004,9.31351E+005
1,5.3E+001,"	2018-03-01 00:00:00.000000",10,0,1.8449E+004,2.69289E+005
0,5.7E+001,"	2018-03-01 00:00:00.000000",10,0,2.3E+002,3.632E+003
70,4.5E+001,"	2018-03-01 00:00:00.000000",10,1.0E+000,2.1177E+004,2.65501E+005
69,3.6E+001,"	2018-03-01 00:00:00.000000",10,2.0E+000,6.927E+003,6.8873E+004
15,4.9E+001,"	2018-03-01 00:00:00.000000",8,0,2.0199E+004,2.74327E+005
14,4.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,3.4239E+004,4.04764E+005
13,3.4E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.6906E+004,4.45789E+005
12,4.0E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,7.731E+003,8.6929E+004
11,5.0E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.5498E+004,2.1565E+005
10,4.2E+001,"	2018-03-01 00:00:00.000000",8,0,1.6674E+004,1.92647E+005
9,3.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.6856E+004,1.79768E+005
8,2.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.4787E+004,1.1546E+005
7,5.4E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,3.7713E+004,5.64589E+005
6,4.6E+001,"	2018-03-01 00:00:00.000000",8,0,2.3119E+004,2.98311E+005
5,5.6E+001,"	2018-03-01 00:00:00.000000",8,0,3.5879E+004,5.5873E+005
57,6.1E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,6.261E+003,1.05884E+005
56,5.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,5.797E+003,8.5673E+004
55,6.1E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,3.848E+003,6.527E+004
54,3.2E+001,"	2018-03-01 00:00:00.000000",8,2.0E+000,1.975E+003,1.767E+004
53,5.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.2726E+004,1.85977E+005
52,4.5E+001,"	2018-03-01 00:00:00.000000",8,2.0E+000,1.2195E+004,1.5196E+005
51,3.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.6336E+004,4.73318E+005
50,4.1E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.3568E+004,2.68145E+005
49,4.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.3948E+004,1.81317E+005
48,4.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,3.4608E+004,4.11146E+005
47,3.9E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.9321E+004,2.11869E+005
46,4.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,6.427E+003,8.6529E+004
45,4.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.8764E+004,2.49872E+005
44,4.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.095E+003,5.4899E+004
43,4.6E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.2003E+004,1.53455E+005
42,3.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,6.807E+003,7.0702E+004
41,3.1E+001,"	2018-03-01 00:00:00.000000",8,2.0E+000,9.361E+003,8.1076E+004
40,5.0E+001,"	2018-03-01 00:00:00.000000",8,0,4.1253E+004,5.77376E+005
39,4.0E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.1877E+004,4.70552E+005
38,5.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.4756E+004,3.63677E+005
37,5.0E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.3974E+004,1.93542E+005
36,5.8E+001,"	2018-03-01 00:00:00.000000",8,0,2.0549E+004,3.28269E+005
35,4.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.3605E+004,1.64308E+005
34,6.0E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.0785E+004,1.78513E+005
33,5.6E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.204E+003,6.5104E+004
32,4.0E+001,"	2018-03-01 00:00:00.000000",8,0,2.638E+003,2.9381E+004
31,5.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.514E+003,3.9763E+004
30,4.9E+001,"	2018-03-01 00:00:00.000000",8,0,1.932E+003,2.6565E+004
4,4.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,3.2196E+004,3.83643E+005
3,5.1E+001,"	2018-03-01 00:00:00.000000",8,0,5.9342E+004,8.36237E+005
2,4.2E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,9.5171E+004,1.105721E+006
1,5.2E+001,"	2018-03-01 00:00:00.000000",8,0,2.4507E+004,3.51242E+005
0,5.0E+001,"	2018-03-01 00:00:00.000000",8,0,2.85E+002,3.932E+003
74,6.4E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.225E+003,3.9795E+004
73,4.9E+001,"	2018-03-01 00:00:00.000000",8,0,1.104E+003,1.5003E+004
72,4.9E+001,"	2018-03-01 00:00:00.000000",8,0,3.6E+002,4.944E+003
71,4.4E+001,"	2018-03-01 00:00:00.000000",8,0,5.0166E+004,6.09532E+005
70,4.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.0708E+004,2.70981E+005
69,3.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,8.06E+003,8.3593E+004
68,3.2E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.8717E+004,2.53743E+005
67,5.5E+001,"	2018-03-01 00:00:00.000000",8,2.0E+000,1.8815E+004,2.86472E+005
66,4.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,8.551E+003,1.12634E+005
65,2.7E+001,"	2018-03-01 00:00:00.000000",8,4.0E+000,7.86E+002,5.907E+003
64,3.3E+001,"	2018-03-01 00:00:00.000000",8,2.0E+000,2.518E+003,2.2973E+004
63,5.2E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,5.556E+003,8.0604E+004
62,5.7E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.99E+003,7.8873E+004
61,4.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,3.71E+002,4.981E+003
60,4.5E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.219E+003,1.5163E+004
59,6.9E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,7.219E+003,1.38782E+005
58,5.8E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,4.355E+003,6.9886E+004
29,6.1E+001,"	2018-03-01 00:00:00.000000",8,0,2.012E+003,3.4164E+004
28,5.2E+001,"	2018-03-01 00:00:00.000000",8,0,2.4202E+004,3.50737E+005
27,3.1E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.9526E+004,1.66128E+005
26,2.9E+001,"	2018-03-01 00:00:00.000000",8,2.0E+000,6.8E+003,5.4558E+004
25,3.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.0661E+004,9.6628E+004
24,4.3E+001,"	2018-03-01 00:00:00.000000",8,0,3.6489E+004,4.36601E+005
23,4.8E+001,"	2018-03-01 00:00:00.000000",8,0,3.665E+004,4.86795E+005
22,4.9E+001,"	2018-03-01 00:00:00.000000",8,0,2.266E+004,3.05898E+005
21,5.3E+001,"	2018-03-01 00:00:00.000000",8,0,4.2917E+004,6.34828E+005
20,4.3E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,1.6048E+004,1.90726E+005
19,3.1E+001,"	2018-03-01 00:00:00.000000",8,1.0E+000,2.236E+004,1.95276E+005
29,5.5E+001,"	2018-03-01 00:00:00.000000",7,0,4.448E+003,6.7518E+004
28,5.5E+001,"	2018-03-01 00:00:00.000000",7,0,2.8621E+004,4.37272E+005
27,2.9E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,1.9405E+004,1.55749E+005
26,2.4E+001,"	2018-03-01 00:00:00.000000",7,3.0E+000,7.363E+003,4.9471E+004
25,3.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.2136E+004,1.10765E+005
24,4.6E+001,"	2018-03-01 00:00:00.000000",7,0,3.4984E+004,4.51133E+005
23,4.7E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,3.6588E+004,4.78227E+005
22,5.2E+001,"	2018-03-01 00:00:00.000000",7,0,2.1944E+004,3.17606E+005
21,5.3E+001,"	2018-03-01 00:00:00.000000",7,0,4.5809E+004,6.74563E+005
20,4.7E+001,"	2018-03-01 00:00:00.000000",7,0,1.6298E+004,2.12191E+005
19,3.1E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.3129E+004,1.98772E+005
18,3.9E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.584E+004,1.7357E+005
17,3.4E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,3.2255E+004,3.02129E+005
16,5.1E+001,"	2018-03-01 00:00:00.000000",7,0,1.0736E+004,1.52671E+005
7,5.2E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,3.5692E+004,5.11873E+005
6,4.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.6732E+004,3.22366E+005
5,5.4E+001,"	2018-03-01 00:00:00.000000",7,0,3.1569E+004,4.7411E+005
4,4.4E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.9799E+004,3.60482E+005
3,5.0E+001,"	2018-03-01 00:00:00.000000",7,0,5.7496E+004,7.94935E+005
2,4.0E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,9.7401E+004,1.075368E+006
1,4.7E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.3844E+004,3.12737E+005
0,5.8E+001,"	2018-03-01 00:00:00.000000",7,0,1.98E+002,3.208E+003
71,4.4E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,6.0316E+004,7.30016E+005
70,5.1E+001,"	2018-03-01 00:00:00.000000",7,0,1.9574E+004,2.77561E+005
69,4.4E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,9.705E+003,1.1947E+005
68,3.2E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,3.0671E+004,2.74449E+005
67,5.0E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.3028E+004,1.79551E+005
66,4.8E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,8.078E+003,1.08297E+005
65,3.0E+001,"	2018-03-01 00:00:00.000000",7,3.0E+000,1.226E+003,1.019E+004
64,3.4E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,2.264E+003,2.1136E+004
63,4.8E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,4.221E+003,5.6242E+004
62,5.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,4.63E+003,6.7995E+004
61,2.9E+001,"	2018-03-01 00:00:00.000000",7,6.0E+000,2.06E+002,1.639E+003
60,4.7E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.659E+003,2.1826E+004
59,7.4E+001,"	2018-03-01 00:00:00.000000",7,0,6.857E+003,1.40049E+005
58,4.8E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,4.421E+003,5.8674E+004
57,6.1E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,7.79E+003,1.31958E+005
56,5.5E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,5.162E+003,7.8257E+004
55,5.6E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,5.081E+003,7.9495E+004
54,3.3E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,1.808E+003,1.6733E+004
53,5.2E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.3989E+004,2.02053E+005
52,4.6E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,1.1754E+004,1.5175E+005
51,3.4E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,4.5991E+004,4.39526E+005
50,3.8E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.2984E+004,2.41102E+005
49,4.5E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.5136E+004,1.88667E+005
48,4.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,3.1734E+004,3.80129E+005
47,4.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.124E+004,2.54693E+005
46,4.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,5.205E+003,6.1839E+004
45,4.6E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.0647E+004,2.65245E+005
44,5.1E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,4.913E+003,6.9835E+004
43,4.7E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.2196E+004,1.58451E+005
42,3.6E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,8.239E+003,8.2204E+004
41,2.9E+001,"	2018-03-01 00:00:00.000000",7,3.0E+000,1.0041E+004,8.0446E+004
15,4.7E+001,"	2018-03-01 00:00:00.000000",7,0,2.0729E+004,2.73296E+005
14,4.2E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.926E+004,3.4298E+005
13,3.2E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,4.7803E+004,4.25861E+005
12,3.6E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,7.954E+003,8.0082E+004
11,5.2E+001,"	2018-03-01 00:00:00.000000",7,0,1.6717E+004,2.40405E+005
10,4.1E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.4364E+004,1.6287E+005
9,4.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.5424E+004,1.84386E+005
8,3.0E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.4194E+004,1.17131E+005
74,7.2E+001,"	2018-03-01 00:00:00.000000",7,0,3.907E+003,7.8221E+004
73,4.2E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,4.21E+002,4.878E+003
72,3.7E+001,"	2018-03-01 00:00:00.000000",7,2.0E+000,3.19E+002,3.26E+003
40,4.5E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,3.6045E+004,4.5362E+005
39,4.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,4.6367E+004,5.48972E+005
38,5.1E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,2.2533E+004,3.17788E+005
37,5.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.3556E+004,2.01427E+005
36,5.7E+001,"	2018-03-01 00:00:00.000000",7,0,2.091E+004,3.33047E+005
35,4.5E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.3985E+004,1.75915E+005
34,6.1E+001,"	2018-03-01 00:00:00.000000",7,0,8.754E+003,1.47482E+005
33,5.3E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,5.504E+003,8.067E+004
32,4.7E+001,"	2018-03-01 00:00:00.000000",7,0,2.3E+003,3.0135E+004
31,3.2E+001,"	2018-03-01 00:00:00.000000",7,6.0E+000,1.055E+003,9.358E+003
30,4.1E+001,"	2018-03-01 00:00:00.000000",7,1.0E+000,1.982E+003,2.233E+004
9,4.1E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.6952E+004,1.93307E+005
8,3.0E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.2668E+004,1.05336E+005
7,5.2E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,3.5152E+004,5.11975E+005
6,4.2E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,2.8262E+004,3.27495E+005
5,5.3E+001,"	2018-03-01 00:00:00.000000",6,0,3.57E+004,5.29573E+005
4,4.3E+001,"	2018-03-01 00:00:00.000000",6,0,3.0822E+004,3.7133E+005
3,5.0E+001,"	2018-03-01 00:00:00.000000",6,0,5.6962E+004,7.93921E+005
2,4.0E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,9.0007E+004,9.96353E+005
1,5.0E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,2.461E+004,3.43776E+005
0,6.5E+001,"	2018-03-01 00:00:00.000000",6,0,3.44E+002,6.219E+003
43,4.7E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.3664E+004,1.78978E+005
42,3.3E+001,"	2018-03-01 00:00:00.000000",6,2.0E+000,7.866E+003,7.2448E+004
41,3.3E+001,"	2018-03-01 00:00:00.000000",6,2.0E+000,8.606E+003,7.8242E+004
40,4.8E+001,"	2018-03-01 00:00:00.000000",6,0,4.1455E+004,5.5518E+005
39,4.2E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,4.1868E+004,4.83601E+005
38,5.1E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,2.2713E+004,3.19725E+005
37,5.1E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.3403E+004,1.90695E+005
36,5.2E+001,"	2018-03-01 00:00:00.000000",6,0,1.9505E+004,2.83106E+005
35,4.7E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.5395E+004,1.98911E+005
34,6.3E+001,"	2018-03-01 00:00:00.000000",6,0,1.1138E+004,1.94767E+005
33,5.1E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,6.447E+003,9.1137E+004
32,3.8E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.999E+003,2.1191E+004
31,5.2E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.753E+003,2.5441E+004
30,3.8E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,8.3E+002,8.679E+003
29,5.3E+001,"	2018-03-01 00:00:00.000000",6,0,3.73E+003,5.4893E+004
74,6.9E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,3.609E+003,6.9227E+004
73,4.2E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,1.019E+003,1.1798E+004
72,4.1E+001,"	2018-03-01 00:00:00.000000",6,1.0E+000,2.76E+002,3.179E+003
71,4.4E+001,"	2018-03-01 00:00:00.000000",6,0,5.5095E+004,6.73093E+005
70,4.7E+001,"	2018-03-01 00:00:00.000000",6,0,1.9716E+004,2.57923E+005
69,4.0E+001,"	2018-03-01 00:00:00.000000",6,2.0E+000,8.508E+003,9.5681E+004
68,3.1E+001,"	2018-03-01 00:00:00.000000",6,2.0E+000,2.6907E+004,2.34129E+005
